01|20170420_224029|0000000000
02|31700050135327|08123456780|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135327|08123456780|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135329|08123456781|DC|19042017_213312|19042017_214601
02|31700050135327|08123456780|DC|19042017_213312|19042017_214601
02|31700050135327|08123456780|DD|19042017_213312|19042017_214601
09|25
